# TITLE= "run52_thmin45_thmax85_rv1e19_f0p01_r1.lev2_emiss.dat"
# Coord_Sys CYLIND
x z var inwind i j
4.994e+16 2.2369e+19 nan -1 2 85
4.994e+16 2.522e+19 nan -1 2 86
4.994e+16 2.8434e+19 nan -1 2 87
4.994e+16 3.2057e+19 nan -1 2 88
4.994e+16 3.6142e+19 nan -1 2 89
4.994e+16 4.0748e+19 nan -1 2 90
4.994e+16 4.594e+19 nan -1 2 91
4.994e+16 5.1795e+19 nan -1 2 92
4.994e+16 5.8395e+19 nan -1 2 93
4.994e+16 6.5836e+19 nan -1 2 94
4.994e+16 7.4226e+19 nan -1 2 95
4.994e+16 8.3685e+19 nan -1 2 96
4.994e+16 9.4349e+19 nan -1 2 97
4.994e+16 1.0637e+20 nan -1 2 98
4.994e+16 1.1993e+20 nan -1 2 99
5.4078e+16 442830000000000.0 0.0 0 3 0
5.4078e+16 942100000000000.0 0.0 0 3 1
5.4078e+16 1062200000000000.0 0.0 0 3 2
5.4078e+16 1197500000000000.0 0.0 0 3 3
5.4078e+16 1350100000000000.0 0.0 0 3 4
5.4078e+16 1522100000000000.0 0.0 0 3 5
5.4078e+16 1716100000000000.0 0.0 0 3 6
5.4078e+16 1934800000000000.0 0.0 0 3 7
5.4078e+16 2181400000000000.0 0.0 0 3 8
5.4078e+16 2459300000000000.0 0.0 0 3 9
5.4078e+16 2772700000000000.0 0.0 0 3 10
5.4078e+16 3126000000000000.0 0.0 0 3 11
5.4078e+16 3524400000000000.0 0.0 0 3 12
5.4078e+16 3973500000000000.0 0.0 0 3 13
5.4078e+16 4479900000000000.0 0.0 0 3 14
5.4078e+16 5050800000000000.0 0.0 0 3 15
5.4078e+16 5694400000000000.0 0.0 0 3 16
5.4078e+16 6420000000000000.0 0.0 0 3 17
5.4078e+16 7238100000000000.0 0.0 1 3 18
5.4078e+16 8160500000000000.0 0.0 1 3 19
5.4078e+16 9200400000000000.0 0.0 1 3 20
5.4078e+16 1.0373e+16 0.0 1 3 21
5.4078e+16 1.1695e+16 0.0 1 3 22
